display_order,domain,item,unit,normal_a,normal_b,disease_suspected,required_context,source_locator
1,고혈압,혈압,mmHg,수축기 120 미만 그리고 이완기 80 미만,수축기 120~139 또는 이완기 80~89,수축기 140 이상 또는 이완기 90 이상,수축기·이완기 값을 함께 평가하고 둘 중 높은 단계를 적용,별표 4의 별첨 1쪽
2,비만,체질량지수(BMI),kg/m²,18.5~24.9,18.5 미만(저체중) 또는 25.0~29.9(과체중),30.0 이상,키·체중 원값 또는 검진기관 BMI가 필요,별표 4의 별첨 1쪽
3,복부비만,허리둘레,cm,남 90 미만 / 여 85 미만,해당 구간 없음,남 90 이상 / 여 85 이상,성별이 없으면 판정하지 않음,별표 4의 별첨 1쪽
4,빈혈,혈색소,g/dL,남 13.0~16.5 / 여 12.0~15.5,남 12.0~12.9 / 여 10.0~11.9,남 12.0 미만 / 여 10.0 미만,성별이 필요하며 고시가 분류하지 않은 상한 초과는 기관 참고치 확인,별표 4의 별첨 1쪽
5,당뇨병,공복혈당,mg/dL,100 미만,100~125,126 이상,공복 검사인지 확인하고 당뇨병 진단·약물치료 중이면 유질환자 맥락을 우선,별표 4의 별첨 1쪽
6,이상지질혈증,총콜레스테롤,mg/dL,200 미만,200~239,240 이상,검진일과 검진기관 참고치 확인,별표 4의 별첨 1쪽
7,이상지질혈증,HDL 콜레스테롤,mg/dL,60 이상,40~59,40 미만,값이 낮을수록 높은 판정 단계임,별표 4의 별첨 1쪽
8,이상지질혈증,중성지방,mg/dL,150 미만,150~199,200 이상,검진일과 검진기관 참고치 확인,별표 4의 별첨 1쪽
9,이상지질혈증,LDL 콜레스테롤,mg/dL,130 미만,130~159,160 이상,당뇨병 동반 시 LDL-C 100 미만 기준과 의사 수정 가능 예외를 적용하고 기관 판정을 우선,별표 4의 별첨 1쪽 주석
10,간장질환,AST,U/L,40 이하,41~50,51 이상,단독 수치로 원인 질환을 확정하지 않음,별표 4의 별첨 1쪽
11,간장질환,ALT,U/L,35 이하,36~45,46 이상,단독 수치로 원인 질환을 확정하지 않음,별표 4의 별첨 1쪽
12,간장질환,감마지티피(γ-GTP),U/L,남 11~63 / 여 8~35,남 64~77 / 여 36~45,남 78 이상 / 여 46 이상,성별이 필요하며 고시가 분류하지 않은 하한 미만은 기관 참고치 확인,별표 4의 별첨 1쪽
13,신장질환,요단백,정성,음성(-),약양성(±),양성(+1) 이상,코드값과 원문 기호를 함께 보존,별표 4의 별첨 1쪽
14,신장질환,혈청크레아티닌,mg/dL,1.5 이하,해당 구간 없음,1.5 초과,검진기관 참고치와 e-GFR를 함께 표시,별표 4의 별첨 1쪽
15,신장질환,신사구체여과율(e-GFR),mL/min/1.73m²,60 이상,해당 구간 없음,60 미만,검진기관 산출값과 계산식을 보존하고 크레아티닌과 함께 표시,별표 4의 별첨 1쪽
